"","player_api_id","player_name","overall_rating","gk_rating","num_of_appearances","num_of_leagues"
"6060",148904,"Jordan Spence",67,112,1,1
"6061",261313,"Jordan Veretout",76,47,78,2
"6062",261313,"Jordan Veretout",76,47,78,1
"6063",45837,"Jordens Peters",69,60,89,1
"6064",150739,"Jordi Alba",84,138,148,1
"6065",193223,"Jordi Amat",75,114,80,1
"6066",193223,"Jordi Amat",75,114,80,2
"6067",38427,"Jordi Codina",NA,NA,64,1
"6068",150632,"Jordi Feliu Xumetra",74,123,27,1
"6069",172147,"Jordi Figueras",73,126,74,1
"6070",172147,"Jordi Figueras",73,126,74,2
"6071",118929,"Jordi Gomez",74,154,86,1
"6072",37492,"Jordi Lopez Felpeto",73,158,14,1
"6073",213684,"Jordi Masip",71,351,1,1
"6074",401004,"Jordi Vanlerberghe",64,63,3,1
"6075",280653,"Jordon Ibe",71,61,10,1
"6076",149917,"Jordon Mutch",72,133,36,1
"6077",109639,"Jordy Buijs",67,42,117,1
"6078",209384,"Jordy Clasie",78,53,179,2
"6079",209384,"Jordy Clasie",78,53,179,1
"6080",310505,"Jordy Croux",63,58,1,1
"6081",167059,"Jordy Deckers",63,320,2,1
"6082",303929,"Jordy van Deelen",62,56,13,1
"6083",520426,"Jordy van der Winden",60,51,1,1
"6084",189977,"Jore Trompet",64,51,4,1
"6085",257847,"Jores Okore",77,70,36,1
"6086",37187,"Jorg van Nieuwenhuijzen",61,305,1,1
"6087",11760,"Jorge Baptista",65,316,5,1
"6088",145063,"Jorge Claros",67,47,29,1
"6089",56952,"Jorge Fucile",NA,NA,46,1
"6090",183321,"Jorge Garcia Morcillo",69,60,7,1
"6091",74739,"Jorge Garcia",NA,NA,9,1
"6092",97508,"Jorge Goncalves",70,130,39,1
"6093",97508,"Jorge Goncalves",70,130,39,2
"6094",730065,"Jorge Intima",57,59,1,1
"6095",522116,"Jorge Kadu",62,55,7,1
"6096",38403,"Jorge Lopez",NA,NA,18,1
"6097",38403,"Jorge Lopez",NA,NA,18,2
"6098",96534,"Jorge Martinez",77,155,36,1
"6099",580589,"Jorge Mere",72,54,24,1
"6100",2983,"Jorge Molina",75,139,70,1
"6101",287353,"Jorge Orti",62,62,1,NA
"6102",213482,"Jorge Pulido",70,45,15,1
"6103",32504,"Jorge Ribeiro",72,142,10,1
"6104",260182,"Jorge Rojas",71,63,3,1
"6105",171338,"Jorge Teixeira",72,55,121,3
"6106",171338,"Jorge Teixeira",72,55,121,2
"6107",171338,"Jorge Teixeira",72,55,121,1
"6108",98363,"Jorginho Sousa",66,42,12,1
"6109",25927,"Jorginho",76,150,3,1
"6110",282775,"Jorginho",79,56,75,1
"6111",41987,"Jorginho",64,125,26,1
"6112",94306,"Joris Delle",72,360,12,1
"6113",687733,"Joris Gnagnon",59,46,1,1
"6114",500932,"Joris Kayembe Ditu",69,58,15,1
"6115",37787,"Joris Mathijsen",80,142,86,1
"6116",37787,"Joris Mathijsen",80,142,86,3
"6117",37787,"Joris Mathijsen",80,142,86,2
"6118",93466,"Joris Steve Marveaux",75,146,107,1
"6119",39848,"Joris van Hout",66,124,18,1
"6120",422121,"Joris van Overeem",71,52,54,1
"6121",37963,"Jorn Vermeulen",64,140,15,1
"6122",467495,"Jorrit Hendrix",75,53,41,1
"6123",45418,"Jos Hooiveld",74,123,32,1
"6124",45418,"Jos Hooiveld",74,123,32,2
"6125",149950,"Josa",64,56,1,NA
"6126",26861,"Jose Alberto Shaffer,18",70,46,15,1
"6127",38148,"Jose Angel Crespo",70,130,54,2
"6128",38148,"Jose Angel Crespo",70,130,54,1
"6129",162497,"Jose Angel",75,127,97,1
"6130",162497,"Jose Angel",75,127,97,2
"6131",162497,"Jose Angel",75,127,97,3
"6132",213816,"Jose Angel",68,48,3,1
"6133",38065,"Jose Antonio Garcia Calvo",76,141,19,1
"6134",38821,"Jose Antonio Reyes",NA,NA,133,1
"6135",38821,"Jose Antonio Reyes",NA,NA,133,2
"6136",69166,"Jose Ariel Nunez",72,46,1,1
"6137",148790,"Jose Baxter",73,119,1,1
"6138",25925,"Jose Bosingwa",82,152,100,1
"6139",213502,"Jose Campana",72,42,11,2
"6140",213502,"Jose Campana",72,42,11,1
"6141",213502,"Jose Campana",72,42,11,3
"6142",161651,"Jose Canas",78,133,55,1
"6143",161651,"Jose Canas",78,133,55,2
"6144",33849,"Jose Carlos Nunes",78,147,130,1
"6145",165607,"Jose Carlos",75,133,15,1
"6146",445908,"Jose Caro",66,53,1,1
"6147",150737,"Jose Catala",73,136,13,1
"6148",2768,"Jose Dorado",75,128,71,1
"6149",37475,"Jose Enrique",80,151,120,1
"6150",39180,"Jose Espinal",57,119,1,1
"6151",26552,"Jose Fonte",81,139,133,1
"6152",11349,"Jose Gaspar",68,113,91,1
"6153",391058,"Jose Gaya",80,53,48,1
"6154",474589,"Jose Gimenez",81,52,26,1
"6155",32043,"Jose Gomes de Moraes Edmilson",81,162,21,1
"6156",32589,"Jose Goncalves",71,86,35,2
"6157",32589,"Jose Goncalves",71,86,35,1
"6158",18653,"Jose Gustavo Sand",72,65,1,1
"6159",35712,"Jose Holebas",77,105,34,2
"6160",35712,"Jose Holebas",77,105,34,1
"6161",41445,"Jose Ignacio Castillo",74,115,35,1
"6162",207511,"Jose Izquierdo",74,53,21,1
"6163",38550,"Jose Javier Barkero",NA,NA,85,1
"6164",33874,"Jose Josetxo",78,138,34,1
"6165",573663,"Jose Kante",64,57,8,1
"6166",39210,"Jose Leonardo Talamonti",NA,NA,43,1
"6167",26554,"Jose Leonardo Ulloa",74,119,52,2
"6168",26554,"Jose Leonardo Ulloa",74,119,52,1
"6169",146768,"Jose Luis Fernandez",71,56,1,1
"6170",56706,"Jose Luis Garces",71,141,1,1
"6171",477472,"Jose Luis Morales",77,64,40,1
"6172",185625,"Jose Luis Palomino",73,53,18,1
"6173",99333,"Jose Manuel Casado",75,140,106,1
"6174",37411,"Jose Manuel Jurado",80,156,116,3
"6175",37411,"Jose Manuel Jurado",80,156,116,1
"6176",37411,"Jose Manuel Jurado",80,156,116,2
"6177",33732,"Jose Manuel Pinto",78,384,30,1
"6178",11860,"Jose Manuel Ze Gomes",67,139,58,1
"6179",22234,"Jose Mari",79,126,3,NA
"6180",364244,"Jose Mari",72,54,26,1
"6181",18521,"Jose Maria Basanta",78,143,22,1
"6182",150330,"Jose Maria Callejon",81,117,191,1
"6183",150330,"Jose Maria Callejon",81,117,191,2
"6184",32765,"Jose Maria Guti",84,161,17,1
"6185",183521,"Jose Maria Lopez Silva",71,60,3,1
"6186",674492,"Jose Matos",58,33,1,1
"6187",470868,"Jose Mauri",72,48,32,1
"6188",24131,"Jose Miguel Josemi",76,117,46,1
"6189",33884,"Jose Moraton",75,141,14,1
"6190",30582,"Jose Moreira",78,389,9,1
"6191",38575,"Jose Movilla",78,158,58,1
"6192",109331,"Jose Nadson",68,48,29,1
"6193",33101,"Jose Paolo Guerrero",78,133,50,1
"6194",169198,"Jose Picon",61,48,1,1
"6195",186121,"Jose Raul Baena",78,136,121,1
"6196",238841,"Jose Recio",76,52,111,1
"6197",359190,"Jose Rodriguez",75,53,11,1
"6198",416175,"Jose Sa",75,371,7,1
"6199",35559,"Jose Saez",67,139,61,1
"6200",51545,"Jose Salomon Rondon",80,126,87,2
"6201",51545,"Jose Salomon Rondon",80,126,87,1
"6202",150085,"Jose Semedo",57,122,5,NA
"6203",18518,"Jose Sosa",82,142,10,2
"6204",18518,"Jose Sosa",82,142,10,1
"6205",116183,"Jose Velazquez",69,115,21,1
"6206",18548,"Jose Ze Pedro",74,149,56,1
"6207",97257,"Joseba Del Olmo",65,148,1,1
