"","reg_num","subj","crse","sect","title","units","instructor","days","time","place"
"407","10751","PE","101","RWI","Rowing-Intermediate","0.0","Casey","M-W-F","05:00AM07:50","SPORTS"
"408","10683","PE","101","SFT","Softball","0.0","Casey","M","04:10PM06:00","SPORTS"
"409","10684","PE","101","SQB","Squash-Beginning","0.0","Casey","T-Th","03:10PM04:00","SPORTS"
"410","10685","PE","101","SQI","Squash-Intermediate","0.0","Casey","T-Th","04:10PM05:00","SPORTS"
"411","10678","PE","101","SR2","Sailing","0.0","Casey","Th","02:10PM05:00","SPORTS"
"412","10594","BIOL","101","F","Intro Biology Lect and Lab","1.0","Shampay","T-Th","09:00AM10:20","VOLLUMVLH"
"413","10676","PE","101","ST2","Sailing","0.0","Casey","T","02:10PM05:00","SPORTS"
"414","10677","PE","101","SW2","Sailing","0.0","Casey","W","02:10PM05:00","SPORTS"
"415","10689","PE","101","TCB","Tai Chi-Beginning","0.0","Casey","M-W","03:10PM04:00","SPORTSGYMI"
"416","10690","PE","101","TCI","Tai Chi-Intermediate","0.0","Casey","M-W","04:10PM05:30","SPORTSGYMI"
"417","10693","PE","101","TNA","Tennis-Advanced","0.0","Casey","T-Th","05:10PM06:00","SPORTS"
"418","10691","PE","101","TNB","Tennis-Beginning","0.0","Casey","T-Th","03:10PM04:00","SPORTS"
"419","10692","PE","101","TNI","Tennis-Intermediate","0.0","Casey","T-Th","04:10PM05:00","SPORTS"
"420","10694","PE","101","ULT","Ultimate Frisbee","0.0","Casey","T-Th","04:10PM06:00","SPORTS"
"421","10696","PE","101","WWR","White Water Rafting","0.0","Casey","T","04:10PM06:00","SPORTS"
"422","10701","PE","102","AE6","Aerobics","0.0","Casey","M-W","06:10PM07:00","SPORTSDANCE"
"423","10596","BIOL","101","FT3","Intro Biology Lect and Lab","0.0","Shampay","T","01:10PM05:00","BIOL103"
"424","10703","PE","102","AE7","Aerobics","0.0","Casey","M-W","07:10PM08:00","SPORTSDANCE"
"425","10704","PE","102","AFD","African Dance","0.0","Casey","T-Th","04:10PM05:30","SPORTS"
"426","10705","PE","102","AIK","Aikido","0.0","Casey","M-W","07:10PM09:00","SPORTSMAT"
"427","10707","PE","102","BAD","Badminton","0.0","Casey","T-Th","12:00PM12:50","SPORTSGYMI"
"428","10709","PE","102","BBC","Basketball-Coed","0.0","Casey","T-Th","04:10PM06:00","SPORTSGYMI"
"429","10706","PE","102","BCN","Backcountry Navigation","0.0","Casey","W","04:10PM06:00","VOLLUM"
"430","10708","PE","102","BD1","Badminton","0.0","Casey","T-Th","01:10PM02:00","SPORTSGYMI"
"431","10713","PE","102","BEL","Bellydance","0.0","Casey","T","06:10PM08:00","SPORTSDANCE"
"432","10714","PE","102","BOW","Bowling","0.0","Casey","T","04:10PM06:00","SPORTS"
"433","10711","PE","102","BRB","Ballroom Dance-Beginning","0.0","Casey","W","06:10PM08:00","SPORTSGYMII"
"434","10599","BIOL","101","FT7","Intro Biology Lect and Lab","0.0","Shampay","T","01:10PM05:00","BIOL107"
"435","10712","PE","102","BRI","Ballroom Dance-Intermediate","0.0","Casey","W","08:10PM10:00","SPORTSGYMII"
"436","10727","PE","102","DEF","Self Defense","0.0","Casey","Th","07:10PM09:30","SPORTSMAT"
"437","10715","PE","102","FEN","Fencing","0.0","Casey","M-Th","06:40PM08:30","SPORTSGYMII"
"438","10716","PE","102","FLK","Folkdancing","0.0","Casey","Th","07:40PM10:00","SPORTSDANCE"
